Date,Total_Volume,Avg_Temp,Precipitation
2026-04-01,11751561.0,11.5,0.1
2026-04-02,11970194.0,9.7,0.0
2026-04-03,12435492.0,12.6,0.0
2026-04-04,9408822.0,13.6,2.0
2026-04-05,7478191.0,10.3,4.1
2026-04-06,11311208.0,9.7,3.6
2026-04-07,11791930.0,6.7,0.0
2026-04-08,11916297.0,8.3,0.0
2026-04-09,11363505.0,8.9,29.5
2026-04-10,11967734.0,9.9,6.8
2026-04-11,9163055.0,10.0,0.0
2026-04-12,7013029.0,12.2,0.0
2026-04-13,11380318.0,15.7,0.0
2026-04-14,11688568.0,17.6,0.0
2026-04-15,11777146.0,16.8,0.0
2026-04-16,11771741.0,17.3,0.0
2026-04-17,11932621.0,16.1,0.0
2026-04-18,9183209.0,17.5,0.0
2026-04-19,6780402.0,20.3,0.0
2026-04-20,11081997.0,12.4,2.4
2026-04-21,11478643.0,11.0,0.0
2026-04-22,11557195.0,13.3,0.0
2026-04-23,11719348.0,16.0,0.0
2026-04-24,12213971.0,16.6,0.0
2026-04-25,9279150.0,17.2,0.0
2026-04-26,6954456.0,16.4,0.0
2026-04-27,11458246.0,14.8,4.0
2026-04-28,11722220.0,12.6,0.5
2026-04-29,12031390.0,13.3,0.0
2026-04-30,12502523.0,15.8,0.0
2026-05-01,8601288.0,17.0,0.0
2026-05-02,8583587.0,16.2,1.1
2026-05-03,6251027.0,12.7,11.5
2026-05-04,10928904.0,13.0,0.7
2026-05-05,7392076.0,13.2,0.0
2026-05-06,11753425.0,15.4,0.0
2026-05-07,11745031.0,14.8,4.2
2026-05-08,12207694.0,14.8,0.0
2026-05-09,9029719.0,15.6,0.0
2026-05-10,6968301.0,16.9,0.0
2026-05-11,11187162.0,16.0,8.1
2026-05-12,11657608.0,18.4,1.2
2026-05-13,11935152.0,17.9,0.0
2026-05-14,12017794.0,23.0,0.0
2026-05-15,12437632.0,24.6,0.0
2026-05-16,0.0,23.9,0.0
2026-05-17,7011637.0,22.9,0.0
2026-05-18,11182691.0,23.4,0.0
2026-05-19,11441193.0,22.3,0.3
2026-05-20,11138883.0,17.6,49.0
2026-05-21,11433959.0,17.2,18.6
2026-05-22,12117258.0,19.3,0.0
2026-05-23,8951412.0,17.7,0.3
2026-05-24,7526228.0,20.4,0.0
2026-05-25,6800148.0,22.9,0.0
2026-05-26,11161217.0,23.3,3.4
2026-05-27,11494084.0,21.0,11.7
2026-05-28,11616293.0,20.2,2.0
2026-05-29,12067873.0,20.2,0.0
2026-05-30,8992365.0,20.6,0.0
2026-05-31,6881390.0,22.8,0.0
2026-06-01,11184750.0,22.9,0.0
2026-06-02,11761480.0,25.5,0.0
2026-06-03,7122266.0,25.8,0.2
2026-06-04,11281091.0,22.9,18.1
2026-06-05,11844649.0,20.2,0.9
2026-06-06,8222195.0,21.9,0.0
2026-06-07,6482472.0,22.2,2.1
2026-06-08,11146946.0,21.5,0.8
2026-06-09,11465962.0,22.1,0.0
2026-06-10,11637001.0,20.6,3.7
2026-06-11,11620268.0,20.8,0.7
2026-06-12,11834846.0,22.2,0.1
2026-06-13,9080411.0,24.3,0.0
2026-06-14,6502544.0,24.1,1.6
2026-06-15,11272171.0,25.5,0.4
2026-06-17,11580348.0,27.2,1.5
2026-06-18,11638346.0,26.9,1.5
2026-06-19,11900990.0,26.9,9.0
2026-06-20,8166182.0,21.6,56.3
2026-06-21,6911026.0,22.6,0.2
2026-06-22,11218262.0,23.2,2.4
2026-06-23,11523721.0,23.9,0.6
2026-06-24,11619624.0,22.6,0.0
2026-06-25,11436804.0,21.3,0.7
2026-06-26,11986281.0,22.6,0.3
2026-06-27,8979232.0,26.1,0.0
2026-06-28,6679126.0,26.2,1.5
